path,exists,size_bytes,sha256
results/v0_66d_targeted_actioncue_repair/v0_66d_model_testing_allowed_hard_prompts.csv,True,834744,9654bc82751176b2d634e1ff335bd0bba5d77909513425ed6eecb2d32a2402ea
results/v0_67_gpt41_hard_action_obscured_pressure_eval/openai_gpt41_scores_v0_67.csv,True,701790,6cc9f97bf429c26732261b905cf5d6e03821610e623c4ce37854853da8eabfa5
results/v0_67_gpt41_hard_action_obscured_pressure_eval/openai_gpt41_summary_v0_67.csv,True,543,f9bbb4ad334c8d07faeb3735b33b4a21eb3704398f4b3117f060edac7ddb789e
results/v0_72_claude_sonnet_hard_pressure_eval/claude_sonnet_scores_v0_72.csv,True,1468710,79572bc4be1b0f294d284d30ca03b474e437c2aff5114a46347a6f52f933306c
results/v0_72_claude_sonnet_hard_pressure_eval/claude_sonnet_summary_v0_72.csv,True,552,f74a323a63a4ce3f5d06af6c80ee9819cc280a9a2e367d682b86ad5fd3f50e1e
results/v0_75_gemini_flash_hard_pressure_eval/gemini_flash_scores_v0_75.csv,True,755677,4d1a07b6bfe3247d947324e5e67cbc26e2847c2a57265ffe1902ffa1c6115521
results/v0_75_gemini_flash_hard_pressure_eval/gemini_flash_summary_v0_75.csv,True,570,7f083c9e0e07fc068596f7be3fe07846632ec88b3ae7c6772415f8f6c25843a8
results/v0_68_hard_evidence_contract_controller/gpt41_v0_68_controller_summary.csv,True,1225,e8b102467778166dd410254fe723fa2efbd740da487ee43b4e3bdcc1516583a0
results/v0_73_claude_evidence_contract_controller/claude_sonnet_v0_73_controller_summary.csv,True,1176,a6b94b87151c6a98b081ef6cc3a40d5251f9327a0d99cf0d09ee0651c1252a33
results/v0_76_gemini_evidence_contract_controller/gemini_flash_v0_76_controller_summary.csv,True,1245,7e235ec88d3be67e100ecea368aac600eaf6eab8be42df9c2e31de921e8267b7
results/v0_77_three_model_hard_synthesis/tables/table1_three_model_unguided_comparison_v0_77.csv,True,705,51623119aed6eb45c3d92c9b75bc2ae9b41178903f939a96ea339513fce65108
results/v0_77_three_model_hard_synthesis/tables/table2_three_model_controller_before_after_v0_77.csv,True,603,043a1d084ab3e9f2ef71c9d6db5d1edfc435fae72fc6165dc09c75d72a863f5c
results/v0_78_manuscript_results_discussion_skeleton/v0_78_combined_results_discussion_skeleton.md,True,11659,c13fecd2ddb1daa5f80b72605076b2ffbd9d776382c9191306b464aa14e73e98
results/v0_79_full_manuscript_draft_scaffold/v0_79_full_manuscript_draft_scaffold.md,True,27449,ac27496a6dd6fc4a4320d3894805baf2704793ede36610c261bed834608e3861
